time,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate,TMP_ground_surface
2009/06/18 12:00:00,0.0,341.4678330566354,13.78,101912.7,0.004554335890948995,279.176,1.267346,0.0,0.0,277.25199999999995
2009/06/18 13:00:00,0.0,361.7863460611773,164.4,101869.2,0.005127558182614213,282.79999999999995,1.872535,0.0,0.0,282.10999999999996
2009/06/18 14:00:00,0.0,380.38973220412987,286.6,101918.8,0.004846315111674115,286.31,2.811867,0.0,0.0,287.39
2009/06/18 15:00:00,0.0,379.9398704476519,213.2,101957.1,0.004703492982736338,286.28999999999996,4.946016,0.0,0.0,287.45
2009/06/18 16:00:00,0.0,386.8384681091545,377.3,101895.7,0.004636246622042374,287.54999999999995,6.855655,0.0,0.0,291.37
2009/06/18 17:00:00,0.0,397.36722917045665,833.0,101946.6,0.004757099246445322,289.34,6.428078,0.0,0.0,300.27
2009/06/18 18:00:00,0.0,402.11030762570925,931.0,101910.7,0.004993507744549366,290.06,7.237298,0.0,0.0,302.53
2009/06/18 19:00:00,0.0,405.15010207976854,929.0,101875.59999999999,0.004623869576797417,290.73999999999995,6.218856,0.0,0.0,303.91999999999996
2009/06/18 20:00:00,0.0,411.60510553617075,405.9,101859.5,0.007186526729090428,290.96999999999997,4.967744,0.0,0.0,298.23999999999995
2009/06/18 21:00:00,0.0,393.4710017935498,330.2,101838.9,0.005155488249619207,288.5,3.058467,0.0,0.0,290.87
2009/06/18 22:00:00,0.0,392.4509455889219,259.2,101830.7,0.004679140831033049,288.52,8.207239,0.0,0.0,289.95
2009/06/18 23:00:00,0.0,393.8357484147021,133.0,101855.6,0.005482943420789311,288.44,5.955069,0.0,0.0,289.0
2009/06/19 00:00:00,0.0,371.5831962964453,162.7,101960.5,0.005620850206846576,284.41999999999996,8.573651,0.0,0.0,286.19
2009/06/19 01:00:00,0.0,370.3720229949344,119.2,102039.5,0.00547290300123621,284.25,3.360168,0.0,0.0,285.59999999999997
2009/06/19 02:00:00,0.0,366.9351113176343,26.44,102060.29999999999,0.005254889270247506,283.7,3.038603,0.0,0.0,283.63
2009/06/19 03:00:00,0.0,363.18787704094603,0.575,102111.7,0.005193499789471,283.03,3.670532,0.0,0.0,282.96999999999997
2009/06/19 04:00:00,0.0,361.06558569647063,0.0,102105.5,0.005207845066886362,282.63,6.049776,0.0,0.0,282.37
2009/06/19 05:00:00,0.0,356.34246113238765,0.0,102105.7,0.005144468783462307,281.77,3.741448,0.0,0.0,281.45
2009/06/19 06:00:00,0.0,351.6911762266521,0.0,102085.2,0.004651006483177587,281.09499999999997,5.192089,0.0,0.0,280.572
2009/06/19 07:00:00,0.0,351.98408919409417,0.0,102077.70000000001,0.005034069214296674,280.98999999999995,3.996043,0.0,0.0,280.47999999999996
2009/06/19 08:00:00,0.0,347.64768180711377,0.0,102025.09999999999,0.004532687953138457,280.37699999999995,3.740139,0.0,0.0,280.02599999999995
2009/06/19 09:00:00,0.0,348.2636146275183,0.0,101933.90000000001,0.004605731107843781,280.464,5.679721,0.0,0.0,280.236
2009/06/19 10:00:00,0.0,342.8039405678001,0.0,102000.59999999999,0.004732647028210851,279.35499999999996,3.796073,0.0,0.0,278.323
2009/06/19 11:00:00,0.0,334.64379218024857,0.0,101959.7,0.004328611216288157,277.943,3.795571,0.0,0.0,276.905
2009/06/19 12:00:00,0.0,337.71276932474194,10.78,102041.4,0.004345822018025698,278.537,5.316759,0.0,0.0,277.411
2009/06/19 13:00:00,0.0,350.8610533512126,163.0,102145.5,0.004589843673153921,280.96299999999997,4.970949,0.0,0.0,280.529
2009/06/19 14:00:00,0.0,363.0948772157911,351.3,102158.2,0.004508540575648792,283.29999999999995,6.154873,0.0,0.0,285.57
2009/06/19 15:00:00,0.0,373.29669007510165,550.6,102137.09999999999,0.004673622710025026,285.09999999999997,5.028303,0.0,0.0,292.07
2009/06/19 16:00:00,0.0,380.5416409345166,586.5,102133.4,0.0049251180151608735,286.29999999999995,2.89649,0.0,0.0,295.85999999999996
2009/06/19 17:00:00,0.0,386.597344465816,688.4,102160.5,0.004618257374223153,287.51,3.216128,0.0,0.0,299.32
2009/06/19 18:00:00,0.0,392.34292888070456,819.0,102129.2,0.004203017368788015,288.71999999999997,3.025238,0.0,0.0,303.73999999999995
2009/06/19 19:00:00,0.0,400.27026210388453,907.0,102085.40000000001,0.004362063847766788,290.02,4.316741,0.0,0.0,305.77
2009/06/19 20:00:00,0.0,402.9981560925879,776.3,102085.5,0.004026385275290889,290.65999999999997,4.38061,0.0,0.0,304.25
2009/06/19 21:00:00,0.0,409.34689679973445,917.0,102035.90000000001,0.0038000473387768434,291.87,4.661588,0.0,0.0,305.96999999999997
2009/06/19 22:00:00,0.0,412.8353986577592,775.1,102055.4,0.0036635629287120695,292.53999999999996,5.149277,0.0,0.0,302.84
2009/06/19 23:00:00,0.0,415.97661418979305,683.6,102031.1,0.003628308632357719,293.09,5.291588,0.0,0.0,300.85999999999996
2009/06/20 00:00:00,0.0,416.854354496841,505.9,101990.5,0.003624879363795921,293.23999999999995,4.478775,0.0,0.0,297.64
2009/06/20 01:00:00,0.0,413.061813975601,304.3,102003.09999999999,0.005327456298836949,291.78999999999996,3.597688,0.0,0.0,293.52
2009/06/20 02:00:00,0.0,402.5107320666819,122.4,101995.6,0.006162534146565571,289.71,4.805848,0.0,0.0,288.9
2009/06/20 03:00:00,0.0,387.16726667800884,3.486,102078.5,0.0059313736090222,287.10999999999996,4.768719,0.0,0.0,285.53999999999996
2009/06/20 04:00:00,0.0,378.9844626098863,0.001,102047.2,0.005586012594184696,285.77,4.991727,0.0,0.0,284.26
2009/06/20 05:00:00,0.0,376.1289977104737,0.0,102041.3,0.005630737694819126,285.23999999999995,5.435294,0.0,0.0,283.71
2009/06/20 06:00:00,0.0,375.7897767086046,0.001,101995.0,0.005601035218114837,285.19,6.313119,0.0,0.0,283.59
2009/06/20 07:00:00,0.0,371.8430018616559,0.0,101906.1,0.0053666108964304645,284.56,5.428076,0.0,0.0,282.96999999999997
2009/06/20 08:00:00,0.0,371.4992546443464,0.0,101930.5,0.0056073627045372665,284.40999999999997,7.109638,0.0,0.0,282.90999999999997
2009/06/20 09:00:00,0.0,370.8830479867821,0.0,101906.2,0.0054893672804954795,284.34,7.14036,0.0,0.0,282.98999999999995
2009/06/20 10:00:00,0.0,370.5625633100255,0.0,101873.7,0.005358463058398416,284.33,7.213159,0.0,0.0,283.22999999999996
